open,high,low,close,volume,datetime
192.98,192.99,192.9109,192.9299,42048,2023-12-27 18:14:00
192.93,192.955,192.89,192.935,40554,2023-12-27 18:15:00
192.935,192.96,192.915,192.92,28446,2023-12-27 18:16:00
192.93,192.93,192.79,192.905,154725,2023-12-27 18:17:00
192.9,192.975,192.8801,192.91,43995,2023-12-27 18:18:00
192.91,192.935,192.86,192.91,32721,2023-12-27 18:19:00
192.92,192.9299,192.879,192.88,31149,2023-12-27 18:20:00
192.88,192.88,192.84,192.865,35998,2023-12-27 18:21:00
192.8648,192.91,192.81,192.905,39463,2023-12-27 18:22:00
192.9,192.9068,192.87,192.905,42887,2023-12-27 18:23:00
192.9076,192.92,192.8702,192.91,22909,2023-12-27 18:24:00
192.89,192.925,192.88,192.915,18456,2023-12-27 18:25:00
192.9114,192.915,192.87,192.9,17936,2023-12-27 18:26:00
192.895,192.9966,192.87,192.995,59622,2023-12-27 18:27:00
193.0,193.04,192.975,192.98,80575,2023-12-27 18:28:00
192.9801,192.985,192.94,192.976,47508,2023-12-27 18:29:00
192.979,193.075,192.979,193.065,37682,2023-12-27 18:30:00
193.065,193.065,193.0301,193.06,32444,2023-12-27 18:31:00
193.05,193.06,192.97,193.0199,45709,2023-12-27 18:32:00
193.0101,193.05,193.0,193.05,39808,2023-12-27 18:33:00
193.0423,193.07,193.0301,193.0699,38630,2023-12-27 18:34:00
193.07,193.15,193.07,193.14,56823,2023-12-27 18:35:00
193.135,193.145,193.095,193.111,49896,2023-12-27 18:36:00
193.115,193.12,193.04,193.0699,39983,2023-12-27 18:37:00
193.07,193.125,193.07,193.0801,35243,2023-12-27 18:38:00
193.09,193.12,193.09,193.11,20376,2023-12-27 18:39:00
193.1142,193.1892,193.1101,193.17,67664,2023-12-27 18:40:00
193.175,193.2,193.1544,193.17,41833,2023-12-27 18:41:00
193.175,193.25,193.16,193.25,64666,2023-12-27 18:42:00
193.25,193.27,193.171,193.205,182380,2023-12-27 18:43:00
193.2023,193.28,193.185,193.275,38603,2023-12-27 18:44:00
193.2708,193.32,193.27,193.2971,98336,2023-12-27 18:45:00
193.29,193.3216,193.255,193.3174,46625,2023-12-27 18:46:00
193.315,193.4,193.31,193.355,99150,2023-12-27 18:47:00
193.36,193.43,193.3563,193.4,76600,2023-12-27 18:48:00
193.3901,193.41,193.375,193.4001,39445,2023-12-27 18:49:00
193.4097,193.48,193.4001,193.475,59642,2023-12-27 18:50:00
193.4799,193.48,193.36,193.44,112781,2023-12-27 18:51:00
193.4301,193.46,193.395,193.445,48649,2023-12-27 18:52:00
193.45,193.5,193.45,193.4783,51907,2023-12-27 18:53:00
193.4799,193.49,193.42,193.43,46347,2023-12-27 18:54:00
193.43,193.49,193.405,193.4399,58215,2023-12-27 18:55:00
193.435,193.47,193.4,193.43,45236,2023-12-27 18:56:00
193.425,193.43,193.37,193.39,54030,2023-12-27 18:57:00
193.385,193.41,193.36,193.3944,45426,2023-12-27 18:58:00
193.39,193.4,193.345,193.3818,35306,2023-12-27 18:59:00
193.38,193.38,193.055,193.12,153286,2023-12-27 19:00:00
193.11,193.1899,193.1,193.1667,60286,2023-12-27 19:01:00
193.17,193.17,192.99,192.995,72434,2023-12-27 19:02:00
193.0,193.065,192.96,193.04,89386,2023-12-27 19:03:00
193.0401,193.08,192.93,193.005,93668,2023-12-27 19:04:00
192.995,193.01,192.95,192.98,69054,2023-12-27 19:05:00
192.98,193.085,192.98,193.01,49259,2023-12-27 19:06:00
193.015,193.039,192.99,193.01,34980,2023-12-27 19:07:00
193.005,193.1,192.96,193.09,57978,2023-12-27 19:08:00
193.095,193.1,192.98,193.04,93789,2023-12-27 19:09:00
193.02,193.05,192.92,193.02,69884,2023-12-27 19:10:00
193.01,193.02,192.87,192.9416,77683,2023-12-27 19:11:00
192.95,192.9662,192.79,192.87,78168,2023-12-27 19:12:00
192.865,192.885,192.82,192.88,52844,2023-12-27 19:13:00
192.87,192.88,192.8,192.855,64087,2023-12-27 19:14:00
192.86,192.885,192.805,192.815,31312,2023-12-27 19:15:00
192.81,192.83,192.79,192.815,63445,2023-12-27 19:16:00
192.8159,192.85,192.78,192.83,51563,2023-12-27 19:17:00
192.82,192.88,192.8145,192.87,49602,2023-12-27 19:18:00
192.8799,192.9268,192.85,192.91,74839,2023-12-27 19:19:00
192.91,192.97,192.89,192.895,76994,2023-12-27 19:20:00
192.895,192.93,192.875,192.91,36306,2023-12-27 19:21:00
192.91,192.99,192.89,192.955,63200,2023-12-27 19:22:00
192.955,193.08,192.955,193.055,86120,2023-12-27 19:23:00
193.05,193.06,193.03,193.045,25015,2023-12-27 19:24:00
193.045,193.09,193.02,193.035,45544,2023-12-27 19:25:00
193.035,193.24,192.991,193.195,216859,2023-12-27 19:26:00
193.1999,193.205,193.1,193.11,50215,2023-12-27 19:27:00
193.105,193.15,193.1,193.145,26471,2023-12-27 19:28:00
193.145,193.1699,193.11,193.15,57346,2023-12-27 19:29:00
193.17,193.18,193.09,193.1799,66124,2023-12-27 19:30:00
193.17,193.18,193.15,193.17,40188,2023-12-27 19:31:00
193.17,193.175,193.11,193.145,46557,2023-12-27 19:32:00
193.15,193.24,193.145,193.1999,53303,2023-12-27 19:33:00
193.1987,193.205,193.09,193.15,50862,2023-12-27 19:34:00
193.1516,193.2099,193.1516,193.195,33091,2023-12-27 19:35:00
193.195,193.2,193.1601,193.1802,31622,2023-12-27 19:36:00
193.18,193.2,193.17,193.19,20070,2023-12-27 19:37:00
193.195,193.2,193.155,193.1578,23249,2023-12-27 19:38:00
193.16,193.1899,193.125,193.1299,24568,2023-12-27 19:39:00
193.125,193.125,193.06,193.07,67805,2023-12-27 19:40:00
193.0602,193.1,193.05,193.095,50832,2023-12-27 19:41:00
193.1,193.105,192.935,192.955,174868,2023-12-27 19:42:00
192.955,192.9899,192.92,192.935,23706,2023-12-27 19:43:00
192.93,192.96,192.8903,192.9558,39665,2023-12-27 19:44:00
192.955,193.02,192.92,193.0038,31752,2023-12-27 19:45:00
193.01,193.07,193.01,193.06,35365,2023-12-27 19:46:00
193.055,193.065,193.04,193.065,20599,2023-12-27 19:47:00
193.06,193.06,193.025,193.05,16052,2023-12-27 19:48:00
193.06,193.095,193.045,193.0901,33041,2023-12-27 19:49:00
193.09,193.13,193.05,193.06,36743,2023-12-27 19:50:00
193.06,193.085,192.96,192.98,79037,2023-12-27 19:51:00
192.98,192.98,192.84,192.86,59993,2023-12-27 19:52:00
192.875,192.895,192.84,192.85,47755,2023-12-27 19:53:00
192.85,192.86,192.76,192.82,80150,2023-12-27 19:54:00
192.83,192.85,192.79,192.7994,38235,2023-12-27 19:55:00
192.8,192.89,192.79,192.8883,48046,2023-12-27 19:56:00
192.8884,192.93,192.875,192.9199,44961,2023-12-27 19:57:00
192.914,193.0,192.914,192.971,43864,2023-12-27 19:58:00
192.975,192.9775,192.915,192.92,36612,2023-12-27 19:59:00
192.92,192.96,192.885,192.91,119591,2023-12-27 20:00:00
192.92,192.96,192.89,192.905,51733,2023-12-27 20:01:00
192.91,192.97,192.9,192.97,50608,2023-12-27 20:02:00
192.97,192.99,192.945,192.97,41618,2023-12-27 20:03:00
192.97,193.01,192.95,192.965,42065,2023-12-27 20:04:00
192.9652,192.9799,192.85,192.86,36222,2023-12-27 20:05:00
192.85,192.95,192.845,192.95,43682,2023-12-27 20:06:00
192.94,192.94,192.87,192.88,54354,2023-12-27 20:07:00
192.88,192.95,192.8714,192.92,37905,2023-12-27 20:08:00
192.92,192.92,192.895,192.905,25612,2023-12-27 20:09:00
192.91,192.92,192.86,192.88,26339,2023-12-27 20:10:00
192.88,192.955,192.8601,192.95,48557,2023-12-27 20:11:00
192.95,192.98,192.92,192.9642,38630,2023-12-27 20:12:00
192.96,192.96,192.89,192.94,31628,2023-12-27 20:13:00
192.935,192.935,192.88,192.9,23185,2023-12-27 20:14:00
192.895,193.03,192.88,193.03,75358,2023-12-27 20:15:00
193.02,193.02,192.97,192.9761,44443,2023-12-27 20:16:00
192.98,193.0199,192.965,192.965,30080,2023-12-27 20:17:00
192.965,192.99,192.95,192.965,23702,2023-12-27 20:18:00
192.965,193.02,192.965,193.015,39414,2023-12-27 20:19:00
193.01,193.04,192.99,193.01,34127,2023-12-27 20:20:00
193.005,193.03,192.983,192.985,43832,2023-12-27 20:21:00
192.99,193.01,192.96,192.96,28004,2023-12-27 20:22:00
192.95,192.957,192.915,192.9423,34791,2023-12-27 20:23:00
192.95,192.97,192.91,192.94,34295,2023-12-27 20:24:00
192.9471,192.9471,192.81,192.9214,82265,2023-12-27 20:25:00
192.93,192.945,192.86,192.87,26323,2023-12-27 20:26:00
192.8701,192.91,192.85,192.88,33346,2023-12-27 20:27:00
192.874,192.9,192.855,192.87,34029,2023-12-27 20:28:00
192.865,192.94,192.8501,192.93,27667,2023-12-27 20:29:00
192.93,192.98,192.91,192.9599,64986,2023-12-27 20:30:00
192.955,192.986,192.935,192.935,35974,2023-12-27 20:31:00
192.93,192.962,192.911,192.925,29487,2023-12-27 20:32:00
192.9217,193.0,192.9217,192.995,38889,2023-12-27 20:33:00
193.0,193.02,192.9914,193.005,48510,2023-12-27 20:34:00
193.01,193.025,192.995,193.0106,44890,2023-12-27 20:35:00
193.01,193.1,193.01,193.095,81542,2023-12-27 20:36:00
193.095,193.115,193.07,193.07,92792,2023-12-27 20:37:00
193.075,193.0967,193.05,193.085,76177,2023-12-27 20:38:00
193.08,193.09,193.05,193.0869,38172,2023-12-27 20:39:00
193.085,193.11,193.04,193.095,111672,2023-12-27 20:40:00
193.1,193.12,192.98,193.0044,86432,2023-12-27 20:41:00
192.98,193.02,192.9232,192.945,39643,2023-12-27 20:42:00
192.94,192.9678,192.89,192.94,36664,2023-12-27 20:43:00
192.94,192.98,192.905,192.9075,30247,2023-12-27 20:44:00
192.905,192.94,192.85,192.885,60572,2023-12-27 20:45:00
192.885,192.895,192.82,192.8388,41191,2023-12-27 20:46:00
192.83,192.85,192.77,192.805,80729,2023-12-27 20:47:00
192.805,192.9,192.7829,192.84,62020,2023-12-27 20:48:00
192.85,192.8669,192.82,192.833,69092,2023-12-27 20:49:00
192.84,192.895,192.73,192.78,145910,2023-12-27 20:50:00
192.78,192.98,192.77,192.955,147874,2023-12-27 20:51:00
192.96,192.99,192.87,192.93,102607,2023-12-27 20:52:00
192.93,193.0,192.92,192.94,69994,2023-12-27 20:53:00
192.94,192.94,192.8579,192.86,120785,2023-12-27 20:54:00
192.865,192.98,192.83,192.96,153850,2023-12-27 20:55:00
192.955,193.01,192.915,193.0,151027,2023-12-27 20:56:00
193.01,193.03,192.95,192.97,164086,2023-12-27 20:57:00
192.97,193.1,192.97,192.97,217027,2023-12-27 20:58:00
192.975,193.22,192.975,193.19,1051439,2023-12-27 20:59:00
193.15,193.17,193.12,193.13,6107516,2023-12-27 21:00:00
193.14,193.22,193.14,193.21,4413,2023-12-27 21:01:00
193.2102,193.22,193.21,193.22,5095,2023-12-27 21:02:00
193.21,193.21,193.19,193.19,10857,2023-12-27 21:03:00
193.19,193.23,193.15,193.15,16186,2023-12-27 21:04:00
193.23,193.23,193.15,193.15,10236,2023-12-27 21:05:00
193.1989,193.2,193.16,193.16,4435,2023-12-27 21:06:00
193.17,193.17,193.12,193.15,928,2023-12-27 21:07:00
193.15,193.15,193.13,193.15,954,2023-12-27 21:08:00
193.13,193.13,193.12,193.12,600,2023-12-27 21:10:00
193.1,193.11,193.1,193.11,505,2023-12-27 21:11:00
193.12,193.12,193.12,193.12,100,2023-12-27 21:12:00
193.11,193.12,193.11,193.12,700,2023-12-27 21:13:00
193.1199,193.12,193.1199,193.12,617,2023-12-27 21:15:00
193.11,193.12,193.11,193.12,2782,2023-12-27 21:16:00
193.1103,193.12,193.11,193.11,1165,2023-12-27 21:17:00
193.08,193.08,193.08,193.08,200,2023-12-27 21:19:00
193.15,193.15,193.15,193.15,66282,2023-12-27 21:20:00
193.1,193.1,193.1,193.1,113,2023-12-27 21:22:00
193.09,193.11,193.09,193.1098,400,2023-12-27 21:23:00
193.11,193.11,193.11,193.11,300,2023-12-27 21:24:00
193.11,193.11,193.11,193.11,1300,2023-12-27 21:25:00
193.11,193.11,193.11,193.11,700,2023-12-27 21:26:00
193.11,193.11,193.11,193.11,100,2023-12-27 21:27:00
193.1,193.11,193.1,193.11,200,2023-12-27 21:29:00
193.1,193.1,193.1,193.1,661,2023-12-27 21:31:00
193.12,193.1699,193.12,193.1643,4185,2023-12-27 21:32:00
193.16,193.16,193.16,193.16,100,2023-12-27 21:33:00
193.15,193.15,193.15,193.15,400,2023-12-27 21:34:00
193.15,193.15,193.15,193.15,2230,2023-12-27 21:35:00
193.15,193.15,193.11,193.15,3179,2023-12-27 21:36:00
193.16,193.16,193.16,193.16,972,2023-12-27 21:37:00
193.15,193.15,193.15,193.15,1086,2023-12-27 21:38:00
193.11,193.11,193.11,193.11,100,2023-12-27 21:39:00
193.11,193.11,193.11,193.11,620,2023-12-27 21:40:00
193.11,193.15,193.11,193.15,802,2023-12-27 21:41:00
193.15,193.16,193.15,193.15,1342,2023-12-27 21:42:00
193.15,193.15,193.15,193.15,220,2023-12-27 21:43:00
193.16,193.16,193.16,193.16,100,2023-12-27 21:45:00
193.15,193.15,193.15,193.15,600,2023-12-27 21:46:00
193.15,193.16,193.15,193.16,2095,2023-12-27 21:47:00
193.16,193.16,193.16,193.16,111,2023-12-27 21:49:00
193.15,193.15,193.15,193.15,300,2023-12-27 21:50:00
193.14,193.15,193.14,193.15,1000,2023-12-27 21:52:00
193.1327,193.1327,193.1327,193.1327,150,2023-12-27 21:56:00
193.15,193.15,193.15,193.15,1367,2023-12-27 21:57:00
193.14,193.14,193.13,193.13,300,2023-12-27 21:59:00
193.11,193.11,193.1,193.1,400,2023-12-27 22:00:00
193.1,193.12,193.1,193.12,600,2023-12-27 22:02:00
193.09,193.09,193.09,193.09,100,2023-12-27 22:03:00
193.09,193.12,193.09,193.12,300,2023-12-27 22:04:00
193.1,193.1,193.1,193.1,347,2023-12-27 22:05:00
193.11,193.11,193.11,193.11,402,2023-12-27 22:06:00
193.11,193.11,193.11,193.11,300,2023-12-27 22:07:00
193.08,193.08,193.06,193.07,2243,2023-12-27 22:08:00
193.07,193.07,193.07,193.07,600,2023-12-27 22:09:00
193.07,193.08,193.07,193.08,400,2023-12-27 22:10:00
193.0501,193.11,193.0501,193.1,1601,2023-12-27 22:11:00
193.14,193.14,193.14,193.14,200,2023-12-27 22:12:00
193.15,193.18,193.15,193.18,3855,2023-12-27 22:13:00
193.18,193.18,193.17,193.17,355,2023-12-27 22:15:00
193.15,193.15,193.13,193.13,200,2023-12-27 22:16:00
193.11,193.11,193.11,193.11,100,2023-12-27 22:18:00
193.1,193.1,193.1,193.1,200,2023-12-27 22:19:00
193.13,193.13,193.13,193.13,300,2023-12-27 22:21:00
193.13,193.18,193.13,193.18,3209,2023-12-27 22:22:00
193.15,193.19,193.15,193.19,371,2023-12-27 22:23:00
193.15,193.15,193.15,193.15,100,2023-12-27 22:24:00
193.19,193.2,193.19,193.2,2223,2023-12-27 22:25:00
193.2,193.23,193.2,193.23,1391,2023-12-27 22:26:00
193.2,193.2,193.2,193.2,500,2023-12-27 22:27:00
193.2,193.2,193.2,193.2,550,2023-12-27 22:29:00
193.23,193.23,193.23,193.23,100,2023-12-27 22:30:00
193.22,193.22,193.22,193.22,100,2023-12-27 22:31:00
193.2,193.21,193.2,193.21,1087,2023-12-27 22:32:00
193.1899,193.1899,193.17,193.17,357,2023-12-27 22:33:00
193.22,193.22,193.22,193.22,100,2023-12-27 22:37:00
193.2192,193.2192,193.2192,193.2192,120,2023-12-27 22:40:00
193.21,193.21,193.21,193.21,100,2023-12-27 22:41:00
193.2199,193.22,193.2199,193.22,200,2023-12-27 22:42:00
193.17,193.17,193.17,193.17,100,2023-12-27 22:43:00
193.16,193.22,193.15,193.22,675,2023-12-27 22:44:00
193.18,193.18,193.18,193.18,150,2023-12-27 22:46:00
193.17,193.17,193.17,193.17,100,2023-12-27 22:49:00
193.11,193.11,193.11,193.11,191,2023-12-27 22:50:00
193.1,193.1,193.1,193.1,200,2023-12-27 22:52:00
193.12,193.12,193.12,193.12,300,2023-12-27 22:56:00
193.148,193.15,193.148,193.15,400,2023-12-27 22:57:00
193.1494,193.1494,193.1494,193.1494,100,2023-12-27 22:58:00
193.15,193.15,193.12,193.12,819,2023-12-27 23:00:00
193.14,193.1499,193.14,193.14,800,2023-12-27 23:01:00
193.15,193.15,193.15,193.15,229,2023-12-27 23:02:00
193.1507,193.1954,193.1507,193.1954,400,2023-12-27 23:06:00
193.19,193.19,193.19,193.19,100,2023-12-27 23:08:00
193.17,193.1899,193.17,193.1899,600,2023-12-27 23:09:00
193.1895,193.1897,193.1895,193.1897,600,2023-12-27 23:10:00
193.17,193.17,193.17,193.17,100,2023-12-27 23:14:00
193.15,193.15,193.15,193.15,100,2023-12-27 23:15:00
193.15,193.15,193.15,193.15,210,2023-12-27 23:16:00
193.19,193.19,193.19,193.19,200,2023-12-27 23:18:00
193.154,193.19,193.154,193.19,800,2023-12-27 23:20:00
193.19,193.19,193.15,193.15,300,2023-12-27 23:23:00
193.16,193.16,193.16,193.16,100,2023-12-27 23:31:00
193.16,193.18,193.16,193.18,430,2023-12-27 23:32:00
193.15,193.1501,193.15,193.15,400,2023-12-27 23:34:00
193.15,193.15,193.15,193.15,395,2023-12-27 23:35:00
193.18,193.18,193.18,193.18,200,2023-12-27 23:40:00
193.15,193.15,193.15,193.15,355,2023-12-27 23:41:00
193.14,193.14,193.11,193.14,400,2023-12-27 23:42:00
193.13,193.13,193.13,193.13,100,2023-12-27 23:43:00
193.11,193.14,193.11,193.14,700,2023-12-27 23:44:00
193.11,193.11,193.11,193.11,166,2023-12-27 23:48:00
193.14,193.18,193.14,193.18,1200,2023-12-27 23:50:00
193.19,193.19,193.19,193.19,1164,2023-12-27 23:51:00
193.1895,193.19,193.1895,193.19,314,2023-12-27 23:52:00
193.18,193.18,193.1,193.1,200,2023-12-27 23:54:00
193.1799,193.1799,193.1799,193.1799,100,2023-12-27 23:56:00
193.16,193.16,193.16,193.16,174,2023-12-27 23:57:00
193.18,193.18,193.16,193.16,230,2023-12-27 23:58:00
193.16,193.16,193.16,193.16,100,2023-12-28 00:00:00
193.15,193.15,193.1,193.14,486,2023-12-28 00:01:00
193.15,193.15,193.15,193.15,100,2023-12-28 00:03:00
193.12,193.12,193.11,193.11,300,2023-12-28 00:05:00
193.14,193.16,193.14,193.16,370,2023-12-28 00:09:00
193.15,193.15,193.15,193.15,197,2023-12-28 00:11:00
193.16,193.16,193.16,193.16,500,2023-12-28 00:12:00
193.1597,193.1597,193.1597,193.1597,100,2023-12-28 00:13:00
193.15,193.15,193.15,193.15,345,2023-12-28 00:15:00
193.1496,193.15,193.1496,193.15,500,2023-12-28 00:23:00
193.15,193.15,193.15,193.15,794,2023-12-28 00:24:00
193.18,193.18,193.18,193.18,600,2023-12-28 00:26:00
193.15,193.15,193.12,193.12,291,2023-12-28 00:28:00
193.16,193.16,193.16,193.16,100,2023-12-28 00:29:00
193.16,193.16,193.16,193.16,200,2023-12-28 00:30:00
193.18,193.18,193.18,193.18,100,2023-12-28 00:34:00
193.18,193.18,193.18,193.18,200,2023-12-28 00:36:00
193.18,193.18,193.18,193.18,650,2023-12-28 00:40:00
193.16,193.16,193.16,193.16,284,2023-12-28 00:42:00
193.19,193.19,193.19,193.19,272,2023-12-28 00:43:00
193.19,193.19,193.19,193.19,100,2023-12-28 00:44:00
193.18,193.18,193.18,193.18,200,2023-12-28 00:45:00
193.2,193.2,193.2,193.2,532,2023-12-28 00:46:00
193.2,193.2,193.2,193.2,100,2023-12-28 00:47:00
193.18,193.2,193.18,193.2,383,2023-12-28 00:48:00
193.21,193.21,193.21,193.21,100,2023-12-28 00:50:00
193.21,193.21,193.2,193.2,309,2023-12-28 00:51:00
193.22,193.22,193.22,193.22,321,2023-12-28 00:52:00
193.21,193.22,193.21,193.22,449,2023-12-28 00:53:00
193.2,193.2,193.2,193.2,270,2023-12-28 00:54:00
193.22,193.22,193.21,193.21,200,2023-12-28 00:56:00
193.2098,193.2098,193.18,193.18,531,2023-12-28 00:57:00
193.18,193.18,193.1599,193.16,3340,2023-12-28 00:58:00
193.1599,193.1794,193.1599,193.1794,500,2023-12-28 00:59:00
